IPAddress,Duration (in seconds),Duration (in minutes),RecordedDate,LocationLatitude,LocationLongitude,language_proficiency_English,language_proficiency_French,language_proficiency_Spanish,language_proficiency_Russian,language_proficiency_Arabic,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,object_choice,gender,age,marital_status,graduation_level,employment_status,valid_picture,uploade_picture_Url,bonus_amount,agreed_to_sell
2.54.38.93,293,4.88,11/15/2022 2:01,32.1033,34.8879,Native / Bilingual or Full Professional Proficiency,No Proficiency,Speaking only,No Proficiency,Speaking only,3,4,2,3,5,3,4,1,4,4,IM_78wglioPC0XZGrY,Female,25 - 34 years old,Married,Master's degree,Working full-time,Yes - 4,https://huji.az1.qualtrics.com/Q/File.php?F=F_3CIUG7S0vI7OjBr,3.5,No
109.253.211.194,210,3.50,11/15/2022 2:29,32.0803,34.7805,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,Speaking only,No Proficiency,1,7,7,4,5,4,5,2,4,4,IM_cHofXzQ2tkFJ01g,Female,25 - 34 years old,Divorced / Separated,Phd,Working full-time,No - 3,https://huji.az1.qualtrics.com/Q/File.php?F=F_wXfKiYQmtPi6NNf,2,Yes
79.178.99.227,770,12.83,11/15/2022 2:39,32.0803,34.7805,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,Native / Bilingual or Full Professional Proficiency,No Proficiency,4,6,6,2,6,4,5,1,5,2,IM_dmMU1KI43SV5um2,Male,25 - 34 years old,Single,Phd,Retired,No - 2,https://huji.az1.qualtrics.com/Q/File.php?F=F_334kTsJcxccQKQ3,1,No
2.55.12.93,440,7.33,11/15/2022 11:42,32.1033,34.8879,Reading and understanding,No Proficiency,Reading and understanding,No Proficiency,No Proficiency,6,4,7,4,6,3,7,6,5,2,IM_4Jcc40dsj8zuGDs,Female,25 - 34 years old,Married,Bachelor's degree,Working full-time,Yes - 1 ,https://huji.az1.qualtrics.com/Q/File.php?F=F_10BmxiwyuJmkOXm,2,No
2.53.30.86,218,3.63,11/16/2022 1:32,32.0803,34.7805,Reading and understanding,No Proficiency,No Proficiency,No Proficiency,No Proficiency,4,4,6,3,5,4,7,2,5,6,IM_dmMU1KI43SV5um2,Female,25 - 34 years old,Divorced / Separated,Master's degree,Working full-time,No - 16,https://huji.az1.qualtrics.com/Q/File.php?F=F_2vZCmGm46bzRRd5,0,No
46.117.247.18,307,5.12,11/16/2022 7:41,32.0803,34.7805,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,5,3,4,5,5,1,7,3,4,1,IM_dmMU1KI43SV5um2,Female,45 - 54 years old,Married,Bachelor's degree,Working part-time,Yes - 17,https://huji.az1.qualtrics.com/Q/File.php?F=F_UMTThVbUxdIuK9H,3.5,No
141.226.59.202,530,8.83,11/16/2022 7:41,32.0803,34.7805,Reading and understanding,No Proficiency,No Proficiency,No Proficiency,No Proficiency,5,4,2,1,6,5,5,2,6,4,IM_cHofXzQ2tkFJ01g,Female,25 - 34 years old,Living with a partner,Master's degree,Working part-time,Yes - 18,https://huji.az1.qualtrics.com/Q/File.php?F=F_2f1nw9f2V5Mi6uy,5,Yes
31.210.180.223,212,3.53,11/16/2022 7:45,32.0803,34.7805,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,Native / Bilingual or Full Professional Proficiency,No Proficiency,1,4,7,1,7,1,5,1,1,1,IM_esRrewWxAThl3FQ,Male,35 - 44 years old,Single,Master's degree,Unemployed and looking for work,Yes - 19,https://huji.az1.qualtrics.com/Q/File.php?F=F_2q8ExSsFMB9kLu0,2,No
147.235.195.78,363,6.05,11/16/2022 7:45,32.0803,34.7805,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,Speaking only,3,3,6,1,4,4,4,2,6,3,IM_cHofXzQ2tkFJ01g,Female,45 - 54 years old,Living with a partner,Master's degree,Working full-time,Yes - 20,https://huji.az1.qualtrics.com/Q/File.php?F=F_2rUUFOP1rfEtIKB,5,No
176.230.172.56,202,3.37,11/16/2022 7:51,31.9642,34.7876,Reading and understanding,No Proficiency,No Proficiency,No Proficiency,No Proficiency,3,3,3,2,4,4,2,3,4,2,IM_4Jcc40dsj8zuGDs,Male,35 - 44 years old,Single,Other,Working full-time,No - 21,https://huji.az1.qualtrics.com/Q/File.php?F=F_24CbAIRpQZb7CGn,3.5,No
77.137.8.66,221,3.68,11/16/2022 7:52,32.0803,34.7805,Native / Bilingual or Full Professional Proficiency,No Proficiency,Speaking only,No Proficiency,No Proficiency,4,4,4,1,7,1,7,7,7,1,IM_78wglioPC0XZGrY,Female,25 - 34 years old,Living with a partner,Bachelor's degree,Working full-time,No - 22,https://huji.az1.qualtrics.com/Q/File.php?F=F_2E9Qp7qp1WGLbcJ,1,No
176.12.143.24,588,9.80,11/16/2022 7:53,32.0803,34.7805,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,3,3,3,2,2,3,3,3,4,4,IM_cHofXzQ2tkFJ01g,Male,25 - 34 years old,Single,Bachelor's degree,Working full-time,Yes - 23,https://huji.az1.qualtrics.com/Q/File.php?F=F_2V4ueDYX9zFbKg3,5,Yes
77.126.176.82,454,7.57,11/16/2022 7:53,32.0803,34.7805,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,6,4,6,2,6,3,6,2,6,2,IM_dmMU1KI43SV5um2,Female,55 - 64 years old,Divorced / Separated,Master's degree,Working full-time,Yes - 24,https://huji.az1.qualtrics.com/Q/File.php?F=F_8J47nxBfAbyyVa1,0,No
77.139.130.74,793,13.22,11/16/2022 7:55,31.7674,35.2186,Reading and understanding,No Proficiency,No Proficiency,No Proficiency,No Proficiency,6,4,3,1,6,3,6,4,4,5,IM_4Jcc40dsj8zuGDs,Female,45 - 54 years old,Married,Master's degree,Working full-time,Yes - 25,https://huji.az1.qualtrics.com/Q/File.php?F=F_3LcMULYaA0llPRT,0,Yes
164.138.122.72,559,9.32,11/16/2022 7:57,31.7674,35.2186,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,1,4,7,3,6,6,7,2,6,3,IM_dmMU1KI43SV5um2,Female,45 - 54 years old,Married,Master's degree,Working part-time,Yes - 26,https://huji.az1.qualtrics.com/Q/File.php?F=F_WojILyx1FQNxD6F,3.5,No
79.181.225.164,351,5.85,11/16/2022 7:57,32.816,34.9821,Native / Bilingual or Full Professional Proficiency,No Proficiency,Reading and understanding,No Proficiency,No Proficiency,2,4,6,4,6,5,6,2,4,3,IM_dmMU1KI43SV5um2,Female,25 - 34 years old,Single,Bachelor's degree,Unemployed and looking for work,No - 27,https://huji.az1.qualtrics.com/Q/File.php?F=F_1eOBSGIjHJPuRsa,1,No
95.86.105.63,742,12.37,11/16/2022 8:04,31.7674,35.2186,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,6,4,2,1,3,6,4,4,1,6,IM_4Jcc40dsj8zuGDs,Male,55 - 64 years old,Married,Bachelor's degree,Working full-time,Yes - 28,https://huji.az1.qualtrics.com/Q/File.php?F=F_2OGyE8E1iqujPw2,2,No
5.28.185.192,212,3.53,11/16/2022 8:04,32.0837,34.8282,Reading and understanding,No Proficiency,No Proficiency,No Proficiency,No Proficiency,4,4,4,4,4,4,4,4,4,4,IM_4Jcc40dsj8zuGDs,Male,18 - 24 years old,Married,Bachelor's degree,Student,No - 29,https://huji.az1.qualtrics.com/Q/File.php?F=F_22JGEO82uZKVOKl,5,Yes
93.172.120.210,326,5.43,11/16/2022 8:08,32.0803,34.7805,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,6,3,4,4,7,3,5,3,4,2,IM_4Jcc40dsj8zuGDs,Male,45 - 54 years old,Divorced / Separated,Bachelor's degree,Working full-time,Yes - 30,https://huji.az1.qualtrics.com/Q/File.php?F=F_WfHE2CXYYhCSH9n,0,No
176.231.161.146,641,10.68,11/16/2022 8:15,31.9642,34.7876,Reading and understanding,No Proficiency,Reading and understanding,No Proficiency,No Proficiency,4,4,3,3,5,5,5,6,7,6,IM_4Jcc40dsj8zuGDs,Female,25 - 34 years old,Married,Master's degree,Working full-time,Yes - 31,https://huji.az1.qualtrics.com/Q/File.php?F=F_rjz2qGewDvZuZwd,1,No
109.186.164.150,696,11.60,11/16/2022 8:20,31.9642,34.7876,Reading and understanding,Reading and understanding,No Proficiency,No Proficiency,No Proficiency,4,2,6,3,5,3,6,1,2,3,IM_esRrewWxAThl3FQ,Female,55 - 64 years old,Married,Bachelor's degree,Working full-time,Yes - 32,https://huji.az1.qualtrics.com/Q/File.php?F=F_24jVVoLeHCyMm8y,2,No
185.3.145.233,367,6.12,11/16/2022 8:21,32.0803,34.7805,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,5,6,4,5,4,4,3,5,3,5,IM_cHofXzQ2tkFJ01g,Female,35 - 44 years old,Single,Master's degree,Working full-time,Yes - 33,https://huji.az1.qualtrics.com/Q/File.php?F=F_PNCLtoRhMP6Z7MJ,3.5,No
2.53.166.117,499,8.32,11/16/2022 8:28,32.0759,34.8215,Native / Bilingual or Full Professional Proficiency,Reading and understanding,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,4,5,4,4,5,5,4,1,3,1,IM_esRrewWxAThl3FQ,Female,55 - 64 years old,Married,Master's degree,Working full-time,No - 34,https://huji.az1.qualtrics.com/Q/File.php?F=F_ThnZlKSwAKoq1mV,1,Yes
109.253.204.221,561,9.35,11/16/2022 8:39,32.0123,34.7705,Reading and understanding,No Proficiency,Speaking only,Reading and understanding,No Proficiency,6,4,4,2,6,2,7,2,3,2,IM_78wglioPC0XZGrY,Female,25 - 34 years old,Married,Master's degree,Working part-time,Yes - 35,https://huji.az1.qualtrics.com/Q/File.php?F=F_3qmxl6dtCc7dLIT,3.5,Yes
77.137.67.38,818,13.63,11/16/2022 8:39,31.5,34.75,Native / Bilingual or Full Professional Proficiency,No Proficiency,Reading and understanding,No Proficiency,Reading and understanding,4,1,5,1,5,4,7,1,6,2,IM_4Jcc40dsj8zuGDs,Female,25 - 34 years old,Married,Bachelor's degree,Working full-time,Yes - 36,https://huji.az1.qualtrics.com/Q/File.php?F=F_3nvEk1sfbq14iz5,5,Yes
87.71.206.167,324,5.40,11/16/2022 8:45,32.3348,34.8596,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,2,2,6,3,6,6,5,2,4,3,IM_78wglioPC0XZGrY,Male,18 - 24 years old,Single,Bachelor's degree,Working full-time,No - 37,https://huji.az1.qualtrics.com/Q/File.php?F=F_1rH4Ds79PZaR0gC,0,No
89.139.124.29,385,6.42,11/16/2022 8:56,32.0803,34.7805,Reading and understanding,No Proficiency,No Proficiency,No Proficiency,No Proficiency,1,5,7,2,6,5,7,1,7,4,IM_4Jcc40dsj8zuGDs,Female,45 - 54 years old,Single,Phd,Working full-time,No - 38,https://huji.az1.qualtrics.com/Q/File.php?F=F_1gIWfK9h96RaVpE,2,No
5.29.11.134,554,9.23,11/16/2022 8:58,32.0803,34.7805,Reading and understanding,Reading and understanding,No Proficiency,No Proficiency,No Proficiency,4,4,4,4,6,4,6,4,6,4,IM_4Jcc40dsj8zuGDs,Female,65+  years old,Married,Master's degree,Retired,Yes - 39,https://huji.az1.qualtrics.com/Q/File.php?F=F_3NRaI5IAUQuEPrb,1,Yes
2.54.174.57,205,3.42,11/16/2022 9:08,32.0803,34.7805,Reading and understanding,No Proficiency,No Proficiency,No Proficiency,Speaking only,7,4,4,4,4,4,4,4,3,4,IM_78wglioPC0XZGrY,Male,25 - 34 years old,Married,Bachelor's degree,Working full-time,No - 40,https://huji.az1.qualtrics.com/Q/File.php?F=F_3dJRR2GPsl30NaJ,2,No
77.137.70.165,408,6.80,11/16/2022 9:16,32.0803,34.7805,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,2,3,4,1,4,4,5,1,6,6,IM_78wglioPC0XZGrY,Male,35 - 44 years old,Single,Master's degree,Working full-time,No - 41,https://huji.az1.qualtrics.com/Q/File.php?F=F_1gU41MxxrXaA1eW,5,No
2.55.179.157,399,6.65,11/16/2022 9:25,32.0803,34.7805,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,3,4,2,6,3,4,5,1,4,5,IM_cHofXzQ2tkFJ01g,Female,18 - 24 years old,Married,Bachelor's degree,Working full-time,No - 42,https://huji.az1.qualtrics.com/Q/File.php?F=F_71UeQ8Bwtlz84AF,3.5,Yes
141.226.93.43,186,3.10,11/16/2022 9:31,32.0803,34.7805,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,5,5,5,4,5,6,6,5,5,5,IM_78wglioPC0XZGrY,Male,45 - 54 years old,Married,Master's degree,Working full-time,No - 43,https://huji.az1.qualtrics.com/Q/File.php?F=F_u3RJ2GIhemoGawF,0,No
147.235.207.35,206,3.43,11/16/2022 9:44,32.0803,34.7805,Reading and understanding,No Proficiency,No Proficiency,No Proficiency,Reading and understanding,5,4,5,3,1,4,3,1,5,1,IM_4Jcc40dsj8zuGDs,Male,35 - 44 years old,Married,Bachelor's degree,Working full-time,No - 44,https://huji.az1.qualtrics.com/Q/File.php?F=F_af7dG7jy3pPbUFX,2,No
84.229.76.200,199,3.32,11/16/2022 9:45,32.0759,34.8215,Reading and understanding,No Proficiency,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,6,5,4,5,5,3,6,6,5,6,IM_4Jcc40dsj8zuGDs,Female,35 - 44 years old,Married,Bachelor's degree,Working full-time,Yes - 45,https://huji.az1.qualtrics.com/Q/File.php?F=F_3KpSkrCNRjz029i,1,No
77.137.74.50,357,5.95,11/16/2022 10:34,32.0803,34.7805,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,Speaking only,No Proficiency,4,4,1,1,6,4,6,1,5,4,IM_4Jcc40dsj8zuGDs,Female,25 - 34 years old,Married,Bachelor's degree,Working full-time,Yes - 46,https://huji.az1.qualtrics.com/Q/File.php?F=F_3G1FKIC28yYstSZ,5,No
89.139.68.147,103,1.72,11/16/2022 10:50,32.0803,34.7805,No Proficiency,No Proficiency,Speaking only,Reading and understanding,Reading and understanding,1,1,6,3,7,1,1,5,7,3,IM_esRrewWxAThl3FQ,Prefer to self-describe (please tick and specify):,35 - 44 years old,Prefer not to say,Bachelor's degree,Prefer not to say,No - 47,https://huji.az1.qualtrics.com/Q/File.php?F=F_1LO7EcoPONK93du,0,No
188.120.128.121,835,13.92,11/16/2022 10:53,32.0803,34.7805,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,3,3,4,3,4,5,4,2,5,5,IM_cHofXzQ2tkFJ01g,Female,35 - 44 years old,Married,Master's degree,Working full-time,Yes - 48,https://huji.az1.qualtrics.com/Q/File.php?F=F_3QQ0K4HvqMf3Q5j,3.5,No
77.137.66.204,215,3.58,11/16/2022 11:09,31.9642,34.7876,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,5,5,5,3,5,6,5,3,5,5,IM_4Jcc40dsj8zuGDs,Male,25 - 34 years old,Married,Bachelor's degree,Working full-time,No - 49,https://huji.az1.qualtrics.com/Q/File.php?F=F_3mesTP5MSumsXti,0,No
77.137.67.61,148,2.47,11/16/2022 11:10,31.5,34.75,No Proficiency,No Proficiency,Reading and understanding,Speaking only,Speaking only,1,2,1,1,1,1,1,1,1,1,IM_4Jcc40dsj8zuGDs,Female,25 - 34 years old,Married,Less than high school degree,Working full-time,No - 50,https://huji.az1.qualtrics.com/Q/File.php?F=F_12RztTd3zqiM5n6,5,No
109.64.115.64,499,8.32,11/16/2022 11:19,31.7674,35.2186,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,Reading and understanding,No Proficiency,7,6,7,5,7,4,7,1,3,1,IM_dmMU1KI43SV5um2,Female,25 - 34 years old,Living with a partner,Bachelor's degree,Student,Yes - 51,https://huji.az1.qualtrics.com/Q/File.php?F=F_31jhShT7wgvhWwn,3.5,No
185.3.145.85,179,2.98,11/16/2022 11:57,32.0803,34.7805,Native / Bilingual or Full Professional Proficiency,No Proficiency,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,5,5,4,4,3,5,5,3,4,4,IM_cHofXzQ2tkFJ01g,Female,25 - 34 years old,Living with a partner,Bachelor's degree,Working part-time,No - 52,https://huji.az1.qualtrics.com/Q/File.php?F=F_Tcm3eewED71aKtz,1,Yes
176.229.188.236,13315,221.92,11/16/2022 12:03,32.4419,34.9039,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,4,6,6,3,5,3,6,2,6,3,IM_cHofXzQ2tkFJ01g,Female,65+  years old,Married,Bachelor's degree,Working full-time,Yes - 53 ,https://huji.az1.qualtrics.com/Q/File.php?F=F_10rCZJTRxC475ZU,2,No
79.176.162.203,237,3.95,11/16/2022 12:11,32.1033,34.8879,Native / Bilingual or Full Professional Proficiency,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,4,2,6,4,6,4,6,2,5,3,IM_4Jcc40dsj8zuGDs,Female,35 - 44 years old,Single,Bachelor's degree,Working full-time,No - 54,https://huji.az1.qualtrics.com/Q/File.php?F=F_242ueCvLN4Gytum,2,No
46.120.89.195,202,3.37,11/16/2022 13:32,32.0729,34.8481,Native / Bilingual or Full Professional Proficiency,No Proficiency,Reading and understanding,No Proficiency,No Proficiency,3,3,3,2,3,5,5,4,5,4,IM_4Jcc40dsj8zuGDs,Male,25 - 34 years old,Single,Bachelor's degree,Working full-time,Yes - 55,https://huji.az1.qualtrics.com/Q/File.php?F=F_2WIhYIjt5xi890s,0,No
2.52.148.43,448,7.47,11/16/2022 13:56,32.0803,34.7805,Reading and understanding,No Proficiency,No Proficiency,No Proficiency,No Proficiency,6,5,5,2,6,4,6,1,6,3,IM_dmMU1KI43SV5um2,Female,35 - 44 years old,Divorced / Separated,Master's degree,Working full-time,No - 56,https://huji.az1.qualtrics.com/Q/File.php?F=F_1lu8VDOkV960FD0,3.5,No
46.31.102.61,519,8.65,11/16/2022 15:43,32.0759,34.8215,No Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,1,2,7,1,7,4,7,1,7,1,IM_4Jcc40dsj8zuGDs,Male,45 - 54 years old,Married,Bachelor's degree,Working full-time,No - 57,https://huji.az1.qualtrics.com/Q/File.php?F=F_2bT4fkDrSU6rTLr,1,Yes
62.0.131.189,217,3.62,11/16/2022 22:18,31.7674,35.2186,Reading and understanding,No Proficiency,No Proficiency,No Proficiency,No Proficiency,3,2,6,3,4,5,5,2,6,1,IM_4Jcc40dsj8zuGDs,Female,45 - 54 years old,Married,Master's degree,Working full-time,Yes - 58,https://huji.az1.qualtrics.com/Q/File.php?F=F_3Eb4WH5KDtH3Ws5,5,No
5.29.9.52,559,9.32,11/16/2022 22:41,32.0803,34.7805,Native / Bilingual or Full Professional Proficiency,Reading and understanding,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,6,2,6,2,7,2,7,1,7,1,IM_cHofXzQ2tkFJ01g,Female,65+  years old,Married,Bachelor's degree,Working full-time,59 - Yes,https://huji.az1.qualtrics.com/Q/File.php?F=F_pgYxSyvt6D3Y3x7,3.5,No
87.69.240.218,615,10.25,11/16/2022 23:01,32.67,35.2464,Reading and understanding,No Proficiency,Reading and understanding,No Proficiency,No Proficiency,5,7,3,1,5,5,6,1,5,2,IM_dmMU1KI43SV5um2,Female,65+  years old,Living with a partner,Master's degree,Retired,60 - Yes,https://huji.az1.qualtrics.com/Q/File.php?F=F_2cupHPektiG7Zjk,0,No
212.143.119.191,204,3.40,11/17/2022 0:22,32.0803,34.7805,Reading and understanding,No Proficiency,No Proficiency,No Proficiency,No Proficiency,4,4,1,3,3,4,4,4,5,4,IM_cHofXzQ2tkFJ01g,Male,35 - 44 years old,Married,High school graduate (high school diploma or equivalent including GDE),Working part-time,61 - Yes,https://huji.az1.qualtrics.com/Q/File.php?F=F_WvTpb8Oc5xiSTxn,1,Yes
94.159.194.141,310,5.17,11/17/2022 3:40,32.1678,34.8205,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,Native / Bilingual or Full Professional Proficiency,No Proficiency,4,2,2,2,6,5,6,2,6,3,IM_dmMU1KI43SV5um2,Male,35 - 44 years old,Married,Bachelor's degree,Working full-time,62 - No,https://huji.az1.qualtrics.com/Q/File.php?F=F_12gphX2MxwfBBWf,2,Yes
212.179.1.218,245,4.08,11/17/2022 4:08,32.0717,34.8153,Speaking only,No Proficiency,No Proficiency,No Proficiency,Speaking only,5,3,6,5,4,5,6,2,4,3,IM_dmMU1KI43SV5um2,Male,55 - 64 years old,Married,Bachelor's degree,Working full-time,63 - Yes,https://huji.az1.qualtrics.com/Q/File.php?F=F_12PEFfPQxLJyshi,5,Yes
83.130.19.75,460,7.67,11/17/2022 6:22,32.0123,34.7705,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,Native / Bilingual or Full Professional Proficiency,No Proficiency,5,5,5,2,4,4,6,2,5,5,IM_4Jcc40dsj8zuGDs,Female,35 - 44 years old,Married,Master's degree,Working full-time,64 - Yes ,https://huji.az1.qualtrics.com/Q/File.php?F=F_1BV3oeLXYUoDAvM,3.5,No
77.137.71.14,510,8.50,11/17/2022 14:16,31.5,34.75,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,6,2,6,4,7,4,7,1,6,2,IM_dmMU1KI43SV5um2,Male,35 - 44 years old,Married,Master's degree,Working part-time,65 - Yes,https://huji.az1.qualtrics.com/Q/File.php?F=F_1LnXRwIvrznFq0C,1,Yes
31.154.165.253,449,7.48,11/17/2022 23:24,31.7858,34.7022,Reading and understanding,No Proficiency,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,3,4,5,4,5,3,3,3,5,3,IM_esRrewWxAThl3FQ,Male,65+  years old,Married,Bachelor's degree,Working part-time,66 - Yes,https://huji.az1.qualtrics.com/Q/File.php?F=F_bmaUKiRfpTCm6EF,7.5,Yes
87.71.140.93,373,6.22,11/18/2022 1:09,32.1033,34.8879,Reading and understanding,No Proficiency,No Proficiency,No Proficiency,No Proficiency,5,1,7,1,7,4,6,1,6,2,IM_cHofXzQ2tkFJ01g,Male,45 - 54 years old,Married,Bachelor's degree,Working full-time,67 - Yes,https://huji.az1.qualtrics.com/Q/File.php?F=F_3oHpUjZHKlre8X8,10,No
